trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client
83,senior,11425.81,new york,hiver,15,villa,1106.9,nuageux,culture,5,aucun,0,1,excellent séjour.
84,famille,14419.35,paris,automne,15,hôtel,1028.22,nuageux,plage,3,bagages,1,1,séjour mitigé.
85,couple,12035.15,bali,hiver,15,villa,1389.27,pluie,culture,2,aucun,0,0,séjour mitigé.
86,business,5372.11,new york,été,6,appartement,906.04,variable,business,2,annulation,1,0,séjour mitigé.
87,business,1647.76,dubaï,hiver,3,hôtel,1362.15,pluie,culture,1,retard_vol,0,0,séjour mitigé.
88,business,4113.67,lisbonne,automne,7,appartement,638.96,ensoleillé,culture,3,bagages,1,0,séjour mitigé.
89,senior,5746.63,lisbonne,été,10,hôtel,724.68,ensoleillé,gastronomie,2,météo,1,0,séjour mitigé.
90,famille,11511.49,new york,été,13,hôtel,1141.9,variable,plage,4,aucun,0,1,excellent séjour.
91,famille,17274.55,paris,printemps,20,resort,1357.49,ensoleillé,culture,3,annulation,0,1,séjour mitigé.
92,couple,5581.32,bali,printemps,7,appartement,1268.48,variable,culture,4,retard_vol,0,0,excellent séjour.
93,famille,14646.06,paris,hiver,16,appartement,1200.91,pluie,culture,2,météo,1,1,séjour mitigé.
94,solo,9807.66,bali,automne,16,resort,1180.83,pluie,gastronomie,1,bagages,1,0,séjour mitigé.
95,famille,9233.03,new york,été,10,villa,863.16,ensoleillé,plage,3,météo,1,0,séjour mitigé.
96,senior,16132.5,new york,printemps,18,hôtel,989.39,pluie,culture,4,météo,1,0,excellent séjour.
97,solo,8825.17,sydney,été,13,hôtel,1110.41,variable,plage,4,bagages,1,0,excellent séjour.
98,senior,6880.7,lisbonne,automne,12,villa,1048.48,pluie,culture,2,aucun,0,1,séjour mitigé.
99,business,4849.39,new york,automne,5,appartement,1166.32,ensoleillé,culture,2,retard_vol,1,0,séjour mitigé.
100,famille,9636.33,rome,automne,19,appartement,941.65,pluie,plage,3,météo,1,1,séjour mitigé.
101,solo,2721.2,tokyo,printemps,8,appartement,786.53,ensoleillé,plage,2,météo,1,0,séjour mitigé.
102,senior,6521.95,lisbonne,été,11,villa,852.7,variable,culture,4,aucun,0,1,excellent séjour.
103,senior,3858.48,rome,été,8,hôtel,1150.22,ensoleillé,gastronomie,2,annulation,1,1,séjour mitigé.
104,couple,3156.94,bali,printemps,5,hôtel,1350.16,variable,culture,2,bagages,1,1,séjour mitigé.
105,famille,3968.49,dubaï,printemps,8,resort,1525.03,ensoleillé,culture,4,aucun,0,1,excellent séjour.
106,senior,9116.45,lisbonne,été,17,hôtel,1031.39,ensoleillé,plage,2,météo,1,0,séjour mitigé.
107,couple,9210.9,bali,automne,11,villa,1081.01,pluie,culture,3,météo,1,1,séjour mitigé.
108,solo,9727.07,new york,été,12,villa,1057.71,ensoleillé,culture,3,retard_vol,1,1,séjour mitigé.
109,solo,7725.61,dubaï,hiver,16,hôtel,1386.4,nuageux,gastronomie,2,météo,1,1,séjour mitigé.
110,business,6503.22,new york,printemps,7,hôtel,1271.45,ensoleillé,business,2,météo,0,0,séjour mitigé.
111,couple,9247.46,new york,été,10,hôtel,1029.43,variable,plage,1,météo,1,0,séjour mitigé.
112,senior,5950.06,tokyo,printemps,19,hôtel,729.18,ensoleillé,gastronomie,2,annulation,1,0,séjour mitigé.
113,business,2027.7,lisbonne,automne,3,hôtel,754.79,nuageux,business,2,aucun,0,0,séjour mitigé.
114,solo,4470.21,rome,hiver,10,resort,1050.5,ensoleillé,plage,3,annulation,1,1,séjour mitigé.
115,couple,5452.0,lisbonne,été,8,appartement,1015.27,pluie,culture,1,météo,1,0,séjour mitigé.
116,couple,4980.55,paris,été,5,appartement,1470.74,ensoleillé,gastronomie,3,retard_vol,1,0,séjour mitigé.
117,famille,5022.84,rome,printemps,13,villa,1266.39,ensoleillé,randonnée,2,météo,0,0,séjour mitigé.
118,senior,7174.02,rome,été,18,villa,1472.93,ensoleillé,plage,2,retard_vol,1,0,séjour mitigé.
119,couple,3851.98,lisbonne,automne,7,resort,954.07,nuageux,culture,4,aucun,0,1,excellent séjour.
120,famille,7345.11,bali,printemps,9,appartement,1117.02,variable,culture,2,annulation,1,1,séjour mitigé.
121,senior,4523.67,lisbonne,printemps,9,villa,954.03,pluie,culture,2,aucun,0,1,séjour mitigé.
122,famille,8902.57,dubaï,hiver,14,resort,1625.48,pluie,plage,2,retard_vol,1,0,séjour mitigé.
123,business,2830.29,dubaï,hiver,6,villa,1313.67,pluie,business,2,aucun,0,1,séjour mitigé.
124,solo,3806.16,dubaï,été,6,villa,1630.75,nuageux,randonnée,2,météo,1,1,séjour mitigé.
125,solo,7191.19,new york,hiver,8,hôtel,673.3,pluie,culture,2,aucun,0,1,séjour mitigé.
126,famille,6772.07,rome,automne,14,villa,1438.05,pluie,plage,2,météo,0,1,séjour mitigé.
127,business,1153.38,tokyo,printemps,3,resort,759.86,pluie,culture,2,annulation,0,1,séjour mitigé.
128,business,1775.0,rome,printemps,4,appartement,1222.8,nuageux,business,3,aucun,0,1,séjour mitigé.
129,solo,3844.61,bali,été,6,hôtel,1253.71,nuageux,culture,4,aucun,0,0,excellent séjour.
130,solo,4161.07,tokyo,hiver,11,resort,526.45,pluie,business,3,bagages,0,0,séjour mitigé.
131,solo,9094.75,bali,été,12,villa,1195.94,ensoleillé,plage,4,aucun,0,1,excellent séjour.
132,couple,7349.93,sydney,automne,13,villa,1256.72,nuageux,gastronomie,4,annulation,1,1,excellent séjour.
133,solo,6846.09,lisbonne,été,12,villa,1105.59,ensoleillé,randonnée,2,annulation,1,0,séjour mitigé.
134,business,3289.6,lisbonne,automne,5,villa,834.62,pluie,business,2,annulation,1,1,séjour mitigé.
135,famille,6146.55,lisbonne,automne,10,resort,795.23,ensoleillé,plage,2,météo,1,0,séjour mitigé.
138,business,1762.44,lisbonne,été,3,appartement,949.6,variable,business,3,météo,1,0,séjour mitigé.
139,famille,6470.99,paris,automne,7,villa,1125.0,pluie,culture,1,retard_vol,1,0,séjour mitigé.
140,couple,11363.43,new york,été,14,appartement,1194.54,variable,culture,3,retard_vol,1,0,séjour mitigé.
141,business,3677.84,dubaï,hiver,7,hôtel,1340.0,pluie,business,1,météo,1,1,séjour mitigé.
142,solo,3258.31,dubaï,automne,6,hôtel,1512.67,pluie,plage,1,météo,1,0,séjour mitigé.
143,business,2077.29,sydney,printemps,3,appartement,1067.21,pluie,gastronomie,2,aucun,0,1,séjour mitigé.
144,business,6064.07,paris,été,6,villa,1162.05,ensoleillé,culture,5,aucun,0,1,excellent séjour.
145,famille,11349.78,bali,printemps,17,appartement,1163.95,ensoleillé,culture,2,météo,0,0,séjour mitigé.
146,business,2363.7,new york,printemps,3,villa,865.66,ensoleillé,business,2,bagages,1,1,séjour mitigé.
147,senior,5676.82,bali,printemps,8,resort,1291.62,variable,plage,2,météo,1,1,séjour mitigé.
148,business,2350.61,paris,automne,3,villa,1269.97,variable,business,1,retard_vol,1,1,séjour mitigé.
149,solo,3164.44,rome,été,8,villa,1281.2,ensoleillé,culture,4,aucun,0,1,excellent séjour.
150,senior,10825.46,lisbonne,automne,18,villa,873.13,nuageux,plage,1,retard_vol,1,0,séjour mitigé.
151,business,2743.64,rome,hiver,7,appartement,1008.42,nuageux,business,3,aucun,0,1,séjour mitigé.
152,famille,13042.36,bali,été,19,villa,1158.66,ensoleillé,plage,3,annulation,0,0,séjour mitigé.
153,business,6376.53,new york,été,7,villa,1052.13,variable,business,2,annulation,1,1,séjour mitigé.
154,senior,5562.37,tokyo,printemps,16,villa,659.81,nuageux,culture,4,aucun,0,1,excellent séjour.
155,solo,3914.75,new york,automne,4,villa,1082.32,variable,plage,2,bagages,1,0,séjour mitigé.
156,couple,9204.41,bali,hiver,11,resort,1311.64,nuageux,plage,3,retard_vol,0,1,séjour mitigé.
157,famille,5397.67,new york,printemps,7,villa,1422.96,ensoleillé,culture,2,retard_vol,1,1,séjour mitigé.
158,solo,11885.49,paris,printemps,14,villa,1254.12,variable,randonnée,3,aucun,0,0,séjour mitigé.
159,business,4675.19,new york,printemps,5,villa,1152.0,ensoleillé,business,3,météo,1,1,séjour mitigé.
160,solo,13129.94,new york,printemps,15,resort,1096.76,nuageux,plage,4,retard_vol,1,1,excellent séjour.
161,solo,4695.78,bali,été,6,villa,880.75,ensoleillé,gastronomie,3,retard_vol,1,0,séjour mitigé.
162,couple,5446.62,paris,été,6,hôtel,1217.25,variable,gastronomie,2,météo,1,1,séjour mitigé.
163,solo,5669.13,rome,printemps,11,villa,1291.78,variable,business,2,bagages,1,1,séjour mitigé.
164,solo,7942.62,bali,printemps,12,appartement,1693.63,nuageux,gastronomie,2,météo,0,0,séjour mitigé.
165,business,1955.48,tokyo,hiver,5,villa,728.43,pluie,business,3,retard_vol,0,1,séjour mitigé.
166,famille,6612.44,sydney,automne,13,appartement,1246.78,nuageux,gastronomie,3,aucun,0,0,séjour mitigé.
167,senior,18143.54,new york,automne,20,appartement,1103.37,variable,gastronomie,2,retard_vol,1,0,séjour mitigé.
168,business,3538.41,sydney,printemps,6,villa,983.72,variable,business,1,météo,1,0,séjour mitigé.
169,famille,13213.41,paris,été,15,appartement,1431.61,variable,plage,3,météo,1,0,séjour mitigé.
170,couple,7366.67,lisbonne,hiver,12,appartement,1007.05,variable,randonnée,1,aucun,0,0,séjour mitigé.
171,senior,9424.19,lisbonne,printemps,17,villa,1012.35,ensoleillé,plage,5,aucun,0,1,excellent séjour.
172,famille,4738.51,lisbonne,été,9,villa,781.53,variable,plage,2,météo,0,1,séjour mitigé.
173,famille,18559.78,paris,été,19,appartement,1479.27,ensoleillé,randonnée,2,météo,1,1,séjour mitigé.
174,solo,5823.37,lisbonne,hiver,9,resort,714.68,nuageux,culture,3,retard_vol,1,0,séjour mitigé.
175,senior,6575.46,paris,automne,8,villa,1329.7,nuageux,culture,3,bagages,1,1,séjour mitigé.
176,famille,15031.71,paris,automne,17,resort,1623.66,ensoleillé,plage,4,retard_vol,1,0,excellent séjour.
177,business,3209.58,paris,printemps,3,villa,1040.53,variable,business,4,aucun,0,1,excellent séjour.
178,solo,3803.55,lisbonne,été,6,appartement,828.1,ensoleillé,plage,2,météo,1,1,séjour mitigé.
179,solo,6597.05,rome,automne,13,villa,1299.35,ensoleillé,culture,2,météo,0,1,séjour mitigé.
180,business,2590.03,dubaï,hiver,5,hôtel,1221.02,ensoleillé,business,5,aucun,0,1,excellent séjour.
181,business,2404.76,lisbonne,été,4,hôtel,694.48,ensoleillé,business,3,aucun,0,1,séjour mitigé.
182,famille,13423.77,new york,automne,18,hôtel,1120.56,pluie,randonnée,2,bagages,1,0,séjour mitigé.
183,senior,12549.06,lisbonne,hiver,19,appartement,760.77,nuageux,plage,2,retard_vol,1,0,séjour mitigé.
184,business,4318.02,sydney,été,7,resort,1277.56,nuageux,business,2,retard_vol,1,1,séjour mitigé.
185,couple,5994.86,new york,hiver,6,villa,956.18,nuageux,gastronomie,3,aucun,0,1,séjour mitigé.
186,famille,6716.87,bali,été,10,hôtel,1524.21,ensoleillé,culture,3,retard_vol,1,0,séjour mitigé.
187,senior,2784.56,rome,été,7,villa,1129.81,ensoleillé,culture,4,aucun,0,0,excellent séjour.
188,solo,6071.22,lisbonne,printemps,12,appartement,861.26,variable,plage,3,météo,1,1,séjour mitigé.
189,solo,3697.96,tokyo,été,9,resort,841.6,variable,plage,2,météo,0,1,séjour mitigé.
190,business,2653.23,lisbonne,automne,4,villa,737.89,pluie,business,2,aucun,0,1,séjour mitigé.
191,famille,10065.01,lisbonne,hiver,18,appartement,935.85,nuageux,plage,2,retard_vol,1,1,séjour mitigé.
192,couple,4316.91,tokyo,printemps,13,villa,897.14,nuageux,culture,1,bagages,1,0,séjour mitigé.
193,couple,6312.11,paris,été,6,hôtel,927.44,nuageux,culture,2,météo,0,1,séjour mitigé.
194,solo,11233.31,paris,hiver,13,villa,1255.96,ensoleillé,culture,3,bagages,1,0,séjour mitigé.
195,famille,17582.15,paris,printemps,18,resort,1269.76,ensoleillé,culture,2,aucun,0,0,séjour mitigé.
196,business,4388.17,lisbonne,automne,7,hôtel,1011.1,pluie,plage,2,retard_vol,1,1,séjour mitigé.
197,solo,5160.1,rome,automne,13,resort,1042.68,ensoleillé,randonnée,3,météo,1,1,séjour mitigé.
198,couple,5700.76,rome,été,12,villa,1026.64,ensoleillé,gastronomie,1,bagages,1,0,séjour mitigé.
199,solo,7368.9,paris,été,8,hôtel,1317.8,variable,randonnée,3,retard_vol,0,0,séjour mitigé.
200,solo,8602.49,paris,printemps,10,hôtel,1276.56,nuageux,gastronomie,2,aucun,0,0,séjour mitigé.
201,solo,6413.73,lisbonne,été,12,villa,938.98,ensoleillé,plage,2,bagages,0,1,séjour mitigé.
202,business,6004.1,new york,automne,6,villa,1166.79,variable,business,3,retard_vol,0,1,séjour mitigé.
203,couple,3703.4,rome,hiver,9,villa,1149.63,pluie,gastronomie,1,retard_vol,0,0,séjour mitigé.
204,famille,14265.14,lisbonne,hiver,21,resort,936.5,variable,plage,1,annulation,0,0,séjour mitigé.
205,couple,6110.25,new york,hiver,8,appartement,1157.91,nuageux,culture,3,annulation,1,0,séjour mitigé.
206,solo,9652.1,bali,printemps,15,villa,1104.18,pluie,gastronomie,3,bagages,0,0,séjour mitigé.
207,couple,5028.61,new york,printemps,6,resort,1419.56,ensoleillé,gastronomie,2,météo,1,1,séjour mitigé.
208,couple,8077.98,paris,été,9,hôtel,1308.98,ensoleillé,plage,5,aucun,0,1,excellent séjour.
209,solo,6875.06,new york,hiver,8,appartement,910.95,pluie,business,3,aucun,0,0,séjour mitigé.
210,famille,14210.02,bali,hiver,20,villa,1358.48,pluie,randonnée,2,météo,1,0,séjour mitigé.
211,business,6892.27,paris,automne,7,appartement,1043.44,nuageux,culture,3,aucun,0,0,séjour mitigé.
212,solo,9393.44,new york,été,10,appartement,1240.1,ensoleillé,culture,3,bagages,0,1,séjour mitigé.
213,couple,4322.38,new york,automne,5,appartement,1301.91,nuageux,gastronomie,1,annulation,1,1,séjour mitigé.
214,couple,6919.32,bali,hiver,9,resort,1084.45,pluie,gastronomie,3,aucun,0,1,séjour mitigé.
215,solo,12184.85,new york,automne,12,villa,1269.43,ensoleillé,gastronomie,2,bagages,1,1,séjour mitigé.
216,solo,3004.57,rome,automne,6,villa,1359.48,ensoleillé,randonnée,3,météo,1,1,séjour mitigé.
218,senior,9242.19,new york,hiver,10,hôtel,1424.72,ensoleillé,culture,1,retard_vol,1,1,séjour mitigé.
219,senior,3363.81,rome,automne,7,appartement,1233.09,pluie,gastronomie,2,météo,1,0,séjour mitigé.
220,couple,9850.44,lisbonne,automne,15,appartement,802.66,nuageux,culture,5,aucun,0,1,excellent séjour.
221,famille,11912.94,paris,hiver,15,appartement,1059.05,pluie,plage,2,aucun,0,1,séjour mitigé.
222,senior,15034.39,new york,automne,16,appartement,973.42,ensoleillé,culture,3,bagages,1,0,séjour mitigé.
223,solo,3871.28,sydney,été,7,resort,1179.03,ensoleillé,business,4,retard_vol,1,0,excellent séjour.
224,couple,9581.84,bali,automne,12,appartement,1299.97,nuageux,culture,2,aucun,0,0,séjour mitigé.
225,business,1947.7,rome,été,4,hôtel,1333.35,ensoleillé,business,2,retard_vol,1,1,séjour mitigé.
226,couple,6859.35,rome,printemps,14,villa,1439.06,pluie,culture,2,retard_vol,1,1,séjour mitigé.
227,business,5548.86,paris,été,7,resort,1224.5,pluie,business,1,bagages,1,0,séjour mitigé.
228,business,2350.57,dubaï,été,4,villa,1608.74,ensoleillé,business,2,retard_vol,1,0,séjour mitigé.
229,business,6931.21,paris,été,7,hôtel,1173.6,ensoleillé,business,1,retard_vol,0,1,séjour mitigé.
230,famille,14196.85,paris,été,16,appartement,1720.77,nuageux,plage,5,aucun,0,1,excellent séjour.
232,senior,7907.27,paris,hiver,8,resort,1064.98,variable,culture,4,annulation,1,0,excellent séjour.
233,senior,7928.13,rome,printemps,17,villa,1074.57,nuageux,culture,2,annulation,1,0,séjour mitigé.
234,business,5756.26,new york,été,6,hôtel,1189.42,ensoleillé,business,3,bagages,1,0,séjour mitigé.
235,solo,4771.64,new york,été,5,villa,1071.97,variable,business,5,aucun,0,1,excellent séjour.
236,couple,5359.13,lisbonne,hiver,10,villa,1001.9,nuageux,culture,4,aucun,0,1,excellent séjour.
237,senior,9650.2,new york,automne,12,villa,1187.88,nuageux,culture,4,aucun,0,1,excellent séjour.
238,couple,5124.98,lisbonne,été,9,appartement,895.09,ensoleillé,gastronomie,2,météo,1,0,séjour mitigé.
239,famille,6551.13,rome,automne,17,appartement,1117.6,nuageux,plage,2,retard_vol,1,1,séjour mitigé.
240,business,3133.87,rome,été,6,appartement,989.32,ensoleillé,business,5,aucun,0,1,excellent séjour.
241,solo,5692.93,rome,hiver,14,resort,1194.47,pluie,culture,4,annulation,0,1,excellent séjour.
242,solo,6894.66,dubaï,automne,13,hôtel,1490.44,nuageux,plage,4,bagages,1,0,excellent séjour.
243,business,4857.6,bali,été,6,resort,1276.41,ensoleillé,culture,1,météo,1,0,séjour mitigé.
244,solo,4375.6,rome,été,10,hôtel,1040.99,ensoleillé,business,5,aucun,0,1,excellent séjour.
245,couple,11005.31,bali,automne,16,appartement,1268.82,pluie,plage,4,retard_vol,1,0,excellent séjour.
246,senior,11453.97,lisbonne,printemps,19,appartement,957.28,variable,culture,2,retard_vol,1,0,séjour mitigé.
247,senior,9556.14,paris,automne,12,resort,1060.09,pluie,culture,2,annulation,1,0,séjour mitigé.
248,solo,7202.77,bali,automne,9,appartement,1265.21,pluie,randonnée,3,météo,0,1,séjour mitigé.
249,senior,8614.91,new york,hiver,10,appartement,1118.83,nuageux,culture,1,aucun,0,0,séjour mitigé.
250,couple,4392.71,lisbonne,printemps,7,appartement,749.82,ensoleillé,plage,3,aucun,0,0,séjour mitigé.
251,couple,3045.04,lisbonne,été,5,villa,953.54,nuageux,culture,3,retard_vol,1,0,séjour mitigé.
252,couple,5032.05,bali,printemps,8,resort,1340.72,ensoleillé,randonnée,2,météo,1,1,séjour mitigé.
253,couple,10393.9,paris,automne,11,appartement,1420.66,variable,randonnée,2,annulation,1,1,séjour mitigé.
254,solo,3673.68,new york,automne,4,appartement,1284.47,nuageux,culture,3,retard_vol,1,1,séjour mitigé.
255,solo,12382.66,new york,printemps,16,hôtel,879.94,variable,plage,3,retard_vol,1,1,séjour mitigé.
256,couple,15204.62,new york,été,16,appartement,953.12,pluie,culture,2,bagages,1,1,séjour mitigé.
257,senior,10888.35,dubaï,été,20,resort,1422.81,ensoleillé,culture,2,bagages,1,0,séjour mitigé.
258,senior,18482.53,paris,automne,18,appartement,1316.3,pluie,gastronomie,2,bagages,1,0,séjour mitigé.
259,couple,7409.89,new york,hiver,8,villa,1194.84,pluie,gastronomie,3,annulation,0,1,séjour mitigé.
260,famille,4986.61,sydney,hiver,9,hôtel,1789.24,pluie,plage,1,aucun,0,0,séjour mitigé.
