trip_id,client_type,destination,saison,type_hebergement,activite_principale,duree_jours,budget_total,prix_vol,meteo_prevue,temperature_moyenne_saison,pluie_moyenne_mm,jours_pluie_moyen,vent_max_moyen_kmh,nb_jours_observes,latitude,longitude,source,periode_reference,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client
16,famille,paris,printemps,resort,plage,20,5455.8,375.5,variable,12.44,1.18,26,14.07,92,48.85341,2.3488,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.06,12.04,38.85,0.97,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
17,solo,lisbonne,printemps,appartement,randonnée,4,1346.11,385.86,ensoleillé,15.64,3.53,41,19.08,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,retard_vol,1,1,séjour correct mais perfectible.
18,famille,paris,printemps,appartement,plage,17,4080.72,205.07,pluie,12.44,1.18,26,14.07,92,48.85341,2.3488,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.06,12.04,38.85,0.97,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
19,business,sydney,été,hôtel,gastronomie,4,11575.2,1377.44,ensoleillé,12.22,4.06,27,18.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
20,solo,sydney,printemps,hôtel,culture,11,4655.41,1538.87,ensoleillé,19.13,4.44,49,17.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
21,business,lisbonne,hiver,hôtel,plage,15,2967.04,420.23,nuageux,12.63,2.92,26,17.53,90,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
22,couple,lisbonne,printemps,hôtel,gastronomie,21,2880.02,463.31,variable,15.64,3.53,41,19.08,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,2,bagages,1,1,séjour décevant.
23,senior,lisbonne,été,resort,gastronomie,7,3913.06,368.85,ensoleillé,23.39,0.06,1,17.22,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,5,aucun,0,1,excellent séjour.
24,senior,dubaï,automne,hôtel,culture,4,5968.97,861.4,pluie,29.44,0.0,0,20.09,91,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,3,bagages,1,1,séjour correct mais perfectible.
25,business,bali,été,hôtel,randonnée,17,7530.24,1346.15,ensoleillé,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
26,famille,sydney,été,hôtel,plage,19,11572.25,1973.64,ensoleillé,12.22,4.06,27,18.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
27,couple,bali,été,appartement,plage,13,6481.27,1357.81,ensoleillé,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
28,famille,tokyo,été,appartement,gastronomie,4,10328.8,782.37,nuageux,27.71,2.91,31,13.49,92,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
29,famille,new york,printemps,hôtel,gastronomie,12,5320.07,979.94,ensoleillé,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
30,business,lisbonne,été,hôtel,business,10,3652.67,412.6,ensoleillé,23.39,0.06,1,17.22,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
31,business,dubaï,été,hôtel,gastronomie,11,9806.17,770.06,variable,35.27,0.0,0,22.79,92,25.07725,55.30927,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,128.17,54.13,71.91,2.19,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,2,retard_vol,0,1,séjour décevant.
32,senior,tokyo,printemps,hôtel,plage,4,6498.82,775.36,nuageux,14.52,6.04,44,15.33,92,35.6895,139.69171,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,29.58,26.1,53.35,1.05,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,aucun,0,1,très bon séjour.
33,couple,sydney,été,hôtel,culture,9,9752.86,1981.92,ensoleillé,12.22,4.06,27,18.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
34,couple,dubaï,printemps,hôtel,plage,21,7109.84,634.34,ensoleillé,28.3,0.01,0,22.56,92,25.07725,55.30927,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,70.72,36.99,63.06,2.2,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
35,couple,rome,été,hôtel,randonnée,3,5793.93,681.54,ensoleillé,27.22,1.32,16,14.95,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,15.45,9.67,40.74,2.01,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
36,famille,paris,hiver,villa,culture,20,10660.11,322.83,nuageux,4.95,2.61,35,15.72,90,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
37,famille,new york,été,resort,randonnée,12,12765.93,835.5,ensoleillé,24.52,2.28,32,14.21,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,18.13,17.43,51.89,1.61,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
38,couple,lisbonne,automne,appartement,gastronomie,14,2684.51,470.26,ensoleillé,18.72,2.83,21,17.54,91,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,15.83,9.72,31.17,0.9,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,3,aucun,0,1,séjour correct mais perfectible.
39,famille,bali,hiver,hôtel,gastronomie,20,6977.12,1134.82,nuageux,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,météo,1,1,séjour correct mais perfectible.
40,solo,rome,printemps,hôtel,business,7,2888.09,444.85,nuageux,15.22,3.55,32,13.85,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
41,couple,bali,hiver,villa,randonnée,21,6011.65,884.7,variable,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
42,business,bali,hiver,hôtel,business,8,10259.37,1055.27,pluie,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
43,business,lisbonne,automne,resort,culture,9,6547.42,409.32,nuageux,18.72,2.83,21,17.54,91,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,15.83,9.72,31.17,0.9,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,3,aucun,0,1,séjour correct mais perfectible.
44,couple,tokyo,été,villa,culture,11,10183.52,949.26,nuageux,27.71,2.91,31,13.49,92,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
45,business,new york,printemps,resort,plage,14,14478.87,767.52,ensoleillé,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,annulation,1,1,séjour correct mais perfectible.
46,business,bali,printemps,hôtel,plage,9,6675.22,1062.97,nuageux,26.99,6.49,65,13.72,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,12.14,10.4,31.68,2.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,annulation,1,1,très bon séjour.
47,couple,paris,automne,resort,culture,18,3871.47,354.19,ensoleillé,12.33,2.12,33,16.01,91,48.85341,2.3488,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,12.19,8.6,34.88,0.44,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,3,retard_vol,1,1,séjour correct mais perfectible.
48,couple,new york,printemps,hôtel,gastronomie,3,8795.67,1076.37,ensoleillé,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
49,business,rome,été,hôtel,randonnée,15,3863.1,502.33,nuageux,27.22,1.32,16,14.95,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,15.45,9.67,40.74,2.01,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
50,famille,lisbonne,printemps,hôtel,business,15,3961.69,332.77,ensoleillé,15.64,3.53,41,19.08,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
51,famille,bali,hiver,appartement,randonnée,13,6111.73,1718.5,pluie,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
52,famille,rome,été,appartement,gastronomie,14,4398.77,489.6,nuageux,27.22,1.32,16,14.95,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,15.45,9.67,40.74,2.01,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
53,business,bali,hiver,hôtel,culture,17,9196.52,1110.53,ensoleillé,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
54,solo,lisbonne,été,hôtel,business,20,2923.22,419.52,ensoleillé,23.39,0.06,1,17.22,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
55,business,sydney,printemps,appartement,business,7,9421.81,1235.24,nuageux,19.13,4.44,49,17.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,aucun,0,1,très bon séjour.
56,business,sydney,été,villa,culture,12,12276.94,1555.47,nuageux,12.22,4.06,27,18.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,retard_vol,0,1,très bon séjour.
57,couple,paris,été,hôtel,plage,13,5536.61,481.45,nuageux,21.05,2.58,30,14.41,92,48.85341,2.3488,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.28,6.83,31.49,1.5,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
58,solo,new york,été,hôtel,plage,9,3466.95,1075.94,ensoleillé,24.52,2.28,32,14.21,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,18.13,17.43,51.89,1.61,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
59,famille,tokyo,hiver,appartement,culture,21,9629.82,1253.57,variable,6.08,0.56,8,14.28,90,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,2,météo,0,1,séjour décevant.
60,famille,bali,été,appartement,gastronomie,12,4042.55,1612.01,ensoleillé,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,0,séjour correct mais perfectible.
61,solo,bali,automne,villa,plage,14,5979.46,1193.17,ensoleillé,26.3,6.82,61,14.71,91,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4,aucun,0,1,très bon séjour.
62,couple,sydney,printemps,hôtel,culture,6,5820.75,1388.06,nuageux,19.13,4.44,49,17.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,annulation,0,1,très bon séjour.
63,solo,bali,printemps,hôtel,business,10,3746.92,1379.51,ensoleillé,26.99,6.49,65,13.72,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,12.14,10.4,31.68,2.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,2,aucun,0,0,séjour décevant.
64,business,paris,automne,resort,plage,14,8149.0,279.99,ensoleillé,12.33,2.12,33,16.01,91,48.85341,2.3488,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,12.19,8.6,34.88,0.44,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4,météo,0,1,très bon séjour.
65,solo,lisbonne,hiver,hôtel,business,11,2290.48,550.88,nuageux,12.63,2.92,26,17.53,90,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,2,aucun,0,1,séjour décevant.
66,solo,lisbonne,été,appartement,randonnée,17,2660.49,407.03,pluie,23.39,0.06,1,17.22,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
67,solo,bali,été,hôtel,randonnée,5,4686.83,1271.27,variable,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,bagages,1,1,séjour correct mais perfectible.
68,couple,rome,hiver,resort,culture,5,4827.61,351.84,variable,9.23,2.57,28,13.79,90,41.89193,12.51133,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.56,17.01,40.29,0.27,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
69,famille,rome,été,villa,randonnée,9,6959.53,418.01,ensoleillé,27.22,1.32,16,14.95,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,15.45,9.67,40.74,2.01,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
70,couple,dubaï,été,villa,plage,9,12505.77,970.82,ensoleillé,35.27,0.0,0,22.79,92,25.07725,55.30927,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,128.17,54.13,71.91,2.19,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
71,famille,rome,printemps,appartement,business,18,4865.68,633.89,pluie,15.22,3.55,32,13.85,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,2,annulation,1,1,séjour décevant.
72,couple,tokyo,automne,villa,randonnée,19,8259.16,942.79,nuageux,18.79,4.52,34,12.27,91,35.6895,139.69171,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,28.46,27.24,54.08,0.85,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,2,aucun,0,1,séjour décevant.
73,senior,tokyo,hiver,hôtel,plage,11,6138.85,1115.64,nuageux,6.08,0.56,8,14.28,90,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
74,famille,new york,printemps,hôtel,culture,12,9144.88,883.69,ensoleillé,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,aucun,0,1,très bon séjour.
75,famille,dubaï,automne,hôtel,randonnée,8,8427.93,826.03,nuageux,29.44,0.0,0,20.09,91,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,3,aucun,0,1,séjour correct mais perfectible.
76,couple,paris,hiver,villa,culture,13,5797.63,489.78,pluie,4.95,2.61,35,15.72,90,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,4,aucun,0,1,très bon séjour.
77,couple,lisbonne,automne,villa,plage,16,6080.3,484.03,nuageux,18.72,2.83,21,17.54,91,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,15.83,9.72,31.17,0.9,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4,aucun,0,1,très bon séjour.
78,solo,rome,hiver,hôtel,gastronomie,16,2489.21,430.67,ensoleillé,9.23,2.57,28,13.79,90,41.89193,12.51133,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.56,17.01,40.29,0.27,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,1,retard_vol,1,1,très mauvaise expérience.
79,solo,new york,printemps,hôtel,gastronomie,21,6670.99,930.9,pluie,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,1,météo,1,1,très mauvaise expérience.
80,business,tokyo,hiver,hôtel,business,13,10606.55,1168.7,pluie,6.08,0.56,8,14.28,90,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
81,solo,dubaï,été,hôtel,gastronomie,9,3676.78,823.01,ensoleillé,35.27,0.0,0,22.79,92,25.07725,55.30927,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,128.17,54.13,71.91,2.19,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
82,couple,bali,été,appartement,business,4,4492.24,1089.31,ensoleillé,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
83,business,rome,automne,hôtel,randonnée,16,4728.81,385.3,variable,17.21,4.01,24,12.75,91,41.89193,12.51133,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,13.51,9.22,34.28,0.79,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,2,annulation,1,1,séjour décevant.
84,famille,dubaï,automne,appartement,gastronomie,18,6637.94,844.67,pluie,29.44,0.0,0,20.09,91,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,2,aucun,0,1,séjour décevant.
